COMPANY,ADDRESS,LATITUDE,LONGITUDE,CO TPY,NOX TPY,Pb TPY,SO2 TPY,VOC TPY,PM10 TPY,PM2.5 TPY
EQUISTAR CHEMICALS LP,"EQUISTAR CHEMICALS LP,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,31.4718,6.3249,0.0,0.0921,120.6383,3.6734,1.0802
FREEPORT POWER LIMITED,"FREEPORT POWER LIMITED,BRAZORIA,TEXAS,USA",28.9541368,-95.35966169999999,63.9541,389.856,0.0067,1.3423,16.669,108.2483,108.2483
TEXAS BARGE & BOAT INC,"TEXAS BARGE & BOAT INC,BRAZORIA,TEXAS,USA",28.9015102,-95.3836451,0.1585,0.0794,0.0,0.001,15.9383,0.8463,0.8344
WHITE MARLIN OPERATING COMPANY LLC,"WHITE MARLIN OPERATING COMPANY LLC,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,14.5352,3.0219,0.0,0.2307,15.5551,0.1032,0.0032
SOLUTIA INC,"SOLUTIA INC,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,5.5026,0,0.0,0,1.3788,0,0
ENTERPRISE CRUDE PIPELINE LLC,"ENTERPRISE CRUDE PIPELINE LLC,BRAZORIA,TEXAS,USA",29.14606199999999,-95.6766816,0.508,0.3867,0.0,0.0689,20.5544,0.0439,0.0439
SWEENY COGENERATION LP,"SWEENY COGENERATION LP,BRAZORIA,TEXAS,USA",29.0388615,-95.6985608,294.5331,745.7758,0.0,14.9011,6.7113,58.4771,58.4771
AIR LIQUIDE LARGE INDUSTRIES US LP,"AIR LIQUIDE LARGE INDUSTRIES US LP,BRAZORIA,TEXAS,USA",29.2131857,-95.4777811,96.7527,9.9375,0.0,0.0008,2.1573,19.4952,19.4952
KINDER MORGAN TEJAS PIPELINE LP,"KINDER MORGAN TEJAS PIPELINE LP,BRAZORIA,TEXAS,USA",29.22868,-95.73106810000002,4.8077,0.9887,0.0,0.0292,1.2264,0.0833,0.0833
DENBURY ONSHORE LLC,"DENBURY ONSHORE LLC,BRAZORIA,TEXAS,USA",29.49789729999999,-95.2455485,24.6807,9.6573,0.0,0,30.5564,0.1867,0.1867
EXXONMOBIL  PIPELINE  COMPANY,"EXXONMOBIL  PIPELINE  COMPANY,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,0.0371,0.1342,0.0,0.01,7.258,0.0761,0.0761
SEABREEZE RECOVERY INC,"SEABREEZE RECOVERY INC,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,11.7503,5.3015,0.0,0.7401,11.9001,30.4411,12.4611
HUNTSMAN ETHYLENEAMINES LLC,"HUNTSMAN ETHYLENEAMINES LLC,BRAZORIA,TEXAS,USA",28.951882,-95.31367589999999,0,0,0.0,0,5.0592,0.7861,0.498
HILCORP ENERGY COMPANY,"HILCORP ENERGY COMPANY,BRAZORIA,TEXAS,USA",29.2131857,-95.4777811,3.2808,2.0166,0.0,0.0038,14.6079,0.049,0.049
FREEPORT LNG DEVELOPMENT LP,"FREEPORT LNG DEVELOPMENT LP,BRAZORIA,TEXAS,USA",28.9799175,-95.30843349999999,77.3698,12.3141,0.0,0.015,29.7208,0.0626,0.0626
GOLDKING MINERALS MANAGEMENT LLC,"GOLDKING MINERALS MANAGEMENT LLC,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,0.693,0.471,0.0,0.004,17.5612,0.071,0.071
BRASKEM AMERICA INC,"BRASKEM AMERICA INC,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,32.8365,4.5459,0.0,0.0084,45.2564,0.5604,0.0019
INDORAMA VENTURES OXIDES LLC,"INDORAMA VENTURES OXIDES LLC,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,10.3574,52.3192,0.0,0.2164,13.2197,2.8484,2.8419
MHBA CB LLLP,"MHBA CB LLLP,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,0.1258,1.6453,0.0,10.0839,0.861,0.1935,0.1932
BLUE CUBE OPERATIONS LLC,"BLUE CUBE OPERATIONS LLC,BRAZORIA,TEXAS,USA",28.987242,-95.3785796,179.1884,578.2795,0.0097,4.3053,88.416,154.3722,145.2312
CHEVRON PIPE LINE COMPANY,"CHEVRON PIPE LINE COMPANY,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,0.207,0.054,0.0,0,9.791,0,0
MAGNUM OPERATING LLC,"MAGNUM OPERATING LLC,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,1.4256,0.7016,0.0,0.0035,16.0201,0.0525,0.0525
SK PRIMACOR AMERICAS LLC,"SK PRIMACOR AMERICAS LLC,BRAZORIA,TEXAS,USA",28.999028,-95.4082178,10.2563,2.0094,0.0,0.0032,10.4474,0.239,0.239
CORTEVA AGRISCIENCE LLC,"CORTEVA AGRISCIENCE LLC,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,2.7811,19.3615,0.0,1.4554,4.877,1.0168,0.9987
INEOS OLIGOMERS USA LLC,"INEOS OLIGOMERS USA LLC,BRAZORIA,TEXAS,USA",29.232136,-95.188829,4.9038,2.8374,0.0,0.0275,5.6147,0.5801,0.322
PHILLIPS 66 PIPELINE LLC,"PHILLIPS 66 PIPELINE LLC,BRAZORIA,TEXAS,USA",29.0868964,-95.7224014,0,0,0.0,0,11.6874,0,0
CITY OF BRYAN,"CITY OF BRYAN,BRAZOS,TEXAS,USA",30.6743643,-96.3699632,75.947,77.9,0.0,0.4,8.2816,7.7652,7.7652
SAINT-GOBAIN CERAMICS & PLASTICS INC,"SAINT-GOBAIN CERAMICS & PLASTICS INC,BRAZOS,TEXAS,USA",30.6504141,-96.3226072,121.656,58.4677,0.0007,2.7808,16.3646,29.2832,22.1415
TEXAS A&M  UNIVERSITY,"TEXAS A&M  UNIVERSITY,BRAZOS,TEXAS,USA",30.6186806,-96.33646549999999,20.3927,30.1384,0.0,6.0875,3.7934,7.495,7.495
ETC TEXAS PIPELINE  LTD,"ETC TEXAS PIPELINE  LTD,BRAZOS,TEXAS,USA",30.6504141,-96.3226072,17.7903,29.9499,0.0,0.1375,31.2416,2.3366,2.3366
WINDSTAR INC,"WINDSTAR INC,BRISCOE,TEXAS,USA",35.5837351,-100.290072,0.59,0.71,0.0,0,0.04,8.29,0.63
KINDER MORGAN BORDER PIPELINE LLC,"KINDER MORGAN BORDER PIPELINE LLC,BROOKS,TEXAS,USA",27.0273057,-98.2212979,6.757,76.1687,0.0,0.7383,1.2289,1.4331,1.4331
KOHLER CO,"KOHLER CO,BROWN,TEXAS,USA",31.662632,-98.9959272,16.406,19.981,0.0,0.387,110.892,3.561,1.522
3M COMPANY,"3M COMPANY,BROWN,TEXAS,USA",31.7705105,-98.92453429999999,26.8469,55.3446,0.0,0.1628,96.8955,11.446,11.4257
SAWYER OILFIELD PRODUCTS LLC,"SAWYER OILFIELD PRODUCTS LLC,BROWN,TEXAS,USA",31.7705105,-98.92453429999999,0,0,0.0,0,10.5609,0,0
CHESAPEAKE OPERATING LLC,"CHESAPEAKE OPERATING LLC,BURLESON,TEXAS,USA",32.5420821,-97.3208492,0.951,0.5665,0.0,0.0012,150.4776,0.0118,0.0118
ASSOCIATED COTTON GROWERS INC,"ASSOCIATED COTTON GROWERS INC,CROSBY,TEXAS,USA",33.6728541,-101.2334317,0.6,0.72,0.0,0,0.04,8.91,0.66
